fold,regime,condition,model,auc,macro_f1,recall_0,accuracy
0,unseen_reader,pos_split,LR,0.5257456955783688,0.42333565193977607,0.5827338129496403,0.46768507638072854
0,unseen_reader,pos_split,RF,0.4738501333764449,0.4551856594110115,0.0,0.8354876615746181
0,unseen_reader,pos_split,XGB,0.466282030555331,0.4774141843085826,0.11510791366906475,0.7226792009400705
0,unseen_reader,surp_weighted,LR,0.52984803168701,0.38041236529287115,0.7266187050359713,0.39600470035252644
0,unseen_reader,surp_weighted,RF,0.5172732600436504,0.45343609505459215,0.0,0.8296122209165687
0,unseen_reader,surp_weighted,XGB,0.5184908253172743,0.48424242424242425,0.2302158273381295,0.6615746180963572
0,unseen_reader,critical_span,LR,0.4729508528009054,0.3951670220326937,0.539568345323741,0.43595769682726204
0,unseen_reader,critical_span,RF,0.4738854983428987,0.4659889558232932,0.02158273381294964,0.8119858989424207
0,unseen_reader,critical_span,XGB,0.4807715625252607,0.4972266124783623,0.35251798561151076,0.6310223266745005
0,unseen_reader,seq_enhanced,LR,0.5110540780858459,0.4361749116607774,0.5035971223021583,0.4994124559341951
0,unseen_reader,seq_enhanced,RF,0.5064010589281385,0.45553422904670504,0.0,0.836662749706228
0,unseen_reader,seq_enhanced,XGB,0.48862258507800505,0.5106433454271649,0.17266187050359713,0.7379553466509988
0,unseen_text,pos_split,LR,0.5769306077694236,0.4796489551638293,0.5535714285714286,0.5564814814814815
0,unseen_text,pos_split,RF,0.5378387374686717,0.4578313253012048,0.0,0.8444444444444444
0,unseen_text,pos_split,XGB,0.5182683270676692,0.5106949669128751,0.15476190476190477,0.7555555555555555
0,unseen_text,surp_weighted,LR,0.5904409461152882,0.45989166733058745,0.6130952380952381,0.5175925925925926
0,unseen_text,surp_weighted,RF,0.5316024436090226,0.45999399993333256,0.005952380952380952,0.8333333333333334
0,unseen_text,surp_weighted,XGB,0.5328066259398496,0.5189336446236101,0.26785714285714285,0.7046296296296296
0,unseen_text,critical_span,LR,0.5657307330827067,0.48774130180197195,0.49404761904761907,0.5814814814814815
