,,,auc,auc,macro_f1,macro_f1,recall_0,recall_0,accuracy,accuracy
,,,mean,std,mean,std,mean,std,mean,std
condition,model,regime,,,,,,,,
late,RF,unseen_reader,0.5068,0.0199,0.4503,0.005,0.0024,0.0042,0.8117,0.014
late,RF,unseen_text,0.5087,0.036,0.4497,0.0101,0.0027,0.0047,0.8092,0.0346
late,XGB,unseen_both,0.5085,0.0861,0.4974,0.0358,0.1636,0.0802,0.7084,0.0425
late,XGB,unseen_reader,0.496,0.0201,0.4953,0.0086,0.1752,0.0236,0.6967,0.0188
late,XGB,unseen_text,0.5057,0.0306,0.5028,0.0147,0.1851,0.031,0.7027,0.0253
late_bc,LR,unseen_both,0.5257,0.0768,0.4546,0.0392,0.1402,0.2036,0.6973,0.0933
late_bc,LR,unseen_reader,0.5254,0.036,0.4917,0.0446,0.1953,0.2008,0.7216,0.1075
late_bc,LR,unseen_text,0.5064,0.0305,0.4707,0.0301,0.4131,0.1313,0.5658,0.081
late_bc,RF,unseen_both,0.4858,0.1005,0.4443,0.0129,0.0,0.0,0.8004,0.0423
late_bc,RF,unseen_reader,0.5165,0.0408,0.4484,0.0042,0.0,0.0,0.813,0.0137
late_bc,RF,unseen_text,0.5178,0.031,0.4487,0.0123,0.0013,0.0028,0.8102,0.0359
late_bc,XGB,unseen_both,0.5182,0.0743,0.4606,0.0587,0.173,0.2253,0.697,0.1364
late_bc,XGB,unseen_reader,0.5064,0.0322,0.4666,0.0288,0.1968,0.2182,0.6878,0.1269
late_bc,XGB,unseen_text,0.5087,0.0306,0.4986,0.0218,0.1412,0.0458,0.728,0.0481
majority,majority,unseen_both,0.5,0.0,0.4443,0.0129,0.0,0.0,0.8004,0.0423
majority,majority,unseen_reader,0.5,0.0,0.4484,0.0042,0.0,0.0,0.813,0.0137
majority,majority,unseen_text,0.5,0.0,0.4474,0.0109,0.0,0.0,0.8104,0.0355
random,random,unseen_both,0.5136,0.0685,0.5136,0.0735,0.1937,0.1025,0.7059,0.0507
random,random,unseen_reader,0.5055,0.0088,0.5049,0.0089,0.2002,0.0208,0.6963,0.0093
random,random,unseen_text,0.5066,0.0108,0.5042,0.01,0.2023,0.0264,0.6944,0.0209
text_only,LR,unseen_both,0.5917,0.0808,0.4965,0.0708,0.5465,0.1601,0.5656,0.0997
text_only,LR,unseen_reader,0.5828,0.0341,0.5021,0.0222,0.5396,0.0508,0.5696,0.0179
text_only,LR,unseen_text,0.5658,0.0437,0.4834,0.0586,0.5217,0.1371,0.5604,0.1039
text_only,RF,unseen_both,0.5954,0.0811,0.5222,0.0591,0.3414,0.1067,0.6519,0.0682
text_only,RF,unseen_reader,0.6376,0.0176,0.5525,0.0138,0.5431,0.0383,0.637,0.0082
text_only,RF,unseen_text,0.5618,0.0488,0.5187,0.0337,0.3383,0.0736,0.654,0.0699
text_only,XGB,unseen_both,0.5971,0.1048,0.5274,0.0886,0.4809,0.1542,0.6148,0.099
text_only,XGB,unseen_reader,0.6368,0.0153,0.5405,0.0174,0.5826,0.0274,0.6119,0.0143
text_only,XGB,unseen_text,0.5582,0.0326,0.5118,0.0262,0.4578,0.1113,0.608,0.0638
