fold,regime,condition,model,auc,macro_f1,recall_0,accuracy
1,unseen_reader,early_bc,LR,0.4715193150826803,0.16116504854368932,1.0,0.19212962962962962
1,unseen_reader,early_bc,RF,0.5022007801981565,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,early_bc,XGB,0.468136154934926,0.4511867041310456,0.006024096385542169,0.8032407407407407
1,unseen_reader,late,LR,0.4881330479511168,0.45464370533734355,0.463855421686747,0.5173611111111112
1,unseen_reader,late,RF,0.5126739047882072,0.44650864830237025,0.0,0.8067129629629629
1,unseen_reader,late,XGB,0.49765250112196635,0.4822443181818182,0.15060240963855423,0.6875
1,unseen_reader,late_bc,LR,0.4920426692443125,0.5160113982822868,0.20481927710843373,0.7071759259259259
1,unseen_reader,late_bc,RF,0.4973288569751787,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,late_bc,XGB,0.4879949597818207,0.4039224413720199,0.608433734939759,0.42592592592592593
1,unseen_reader,combined,LR,0.5003883729761452,0.4812784469535042,0.45180722891566266,0.5578703703703703
1,unseen_reader,combined,RF,0.45005523526771846,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,combined,XGB,0.48819346152518384,0.5006552425348729,0.15060240963855423,0.71875
1,unseen_reader,combined_bc,LR,0.4809438326371388,0.16116504854368932,1.0,0.19212962962962962
1,unseen_reader,combined_bc,RF,0.5060845099596092,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,combined_bc,XGB,0.5364854834812028,0.4578492140180529,0.536144578313253,0.5069444444444444
1,unseen_reader,combined_ling,LR,0.5446111091932199,0.47661202956429205,0.40963855421686746,0.5625
1,unseen_reader,combined_ling,RF,0.5239712431387441,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,combined_ling,XGB,0.5093295819380674,0.48648178668293124,0.10240963855421686,0.7349537037037037
1,unseen_reader,combined_ling_bc,LR,0.5304484413297891,0.16116504854368932,1.0,0.19212962962962962
1,unseen_reader,combined_ling_bc,RF,0.4966643076604412,0.4468629961587708,0.0,0.8078703703703703
1,unseen_reader,combined_ling_bc,XGB,0.5500310698380916,0.5143972803149109,0.2289156626506024,0.6909722222222222
1,unseen_text,text_only,LR,0.6061746305195393,0.48909675533469743,0.5792682926829268,0.5550978372811535
1,unseen_text,text_only,RF,0.5942061836975246,0.5215690761122425,0.34146341463414637,0.6673532440782698
1,unseen_text,text_only,XGB,0.5798652038564995,0.5207157619067846,0.3780487804878049,0.6529351184346035
1,unseen_text,majority,majority,0.5,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,random,random,0.5075747272342612,0.5062106609748072,0.21341463414634146,0.7023686920700309
1,unseen_text,early,LR,0.5112506422461994,0.4964033643763952,0.36585365853658536,0.6210092687950567
1,unseen_text,early,RF,0.5147149938042132,0.45326576576576577,0.0,0.8290422245108136
1,unseen_text,early,XGB,0.4778538398766888,0.48358555335299525,0.16463414634146342,0.694129763130793
1,unseen_text,early_bc,LR,0.4926103907879227,0.45499964762854006,0.4268292682926829,0.5406797116374872
1,unseen_text,early_bc,RF,0.44666334209810504,0.45326576576576577,0.0,0.8290422245108136
1,unseen_text,early_bc,XGB,0.4737396862816212,0.5023357173038702,0.15853658536585366,0.7301750772399588
1,unseen_text,late,LR,0.5233022032822559,0.4584082755909381,0.4817073170731707,0.5324407826982492
1,unseen_text,late,RF,0.4691684045093239,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,late,XGB,0.4675023423096685,0.49913752461244076,0.17682926829268292,0.7126673532440783
1,unseen_text,late_bc,LR,0.4985795025236497,0.47192180993225186,0.42073170731707316,0.5674562306900103
1,unseen_text,late_bc,RF,0.46446111765950376,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,late_bc,XGB,0.5121422310877384,0.4924963450292398,0.17073170731707318,0.7054582904222451
1,unseen_text,combined,LR,0.536472028289056,0.4953789719088568,0.4451219512195122,0.5952626158599382
1,unseen_text,combined,RF,0.45096261371535645,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,combined,XGB,0.49336975247075887,0.5203587583076145,0.17073170731707318,0.7507723995880535
1,unseen_text,combined_bc,LR,0.5019342944358811,0.4619834761737285,0.4817073170731707,0.537590113285273
1,unseen_text,combined_bc,RF,0.5121195635748179,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,combined_bc,XGB,0.47217562789010786,0.48682690773934784,0.1402439024390244,0.7167868177136972
1,unseen_text,combined_ling,LR,0.6105947955390334,0.5217083517264398,0.4817073170731707,0.6230690010298661
1,unseen_text,combined_ling,RF,0.5372465016471726,0.4535734383792909,0.0,0.8300720906282183
1,unseen_text,combined_ling,XGB,0.52396711699459,0.52426508509541,0.15853658536585366,0.7651905252317199
1,unseen_text,combined_ling_bc,LR,0.5801598815244657,0.4961104361191305,0.5609756097560976,0.568486096807415
1,unseen_text,combined_ling_bc,RF,0.5369442681415662,0.45388076490438695,0.0,0.831101956745623
1,unseen_text,combined_ling_bc,XGB,0.5299513404055973,0.5073059256207175,0.17682926829268292,0.7260556127703398
1,unseen_both,text_only,LR,0.7068825910931175,0.46710526315789475,0.6153846153846154,0.5555555555555556
1,unseen_both,text_only,RF,0.7263157894736842,0.5270935960591133,0.38461538461538464,0.7037037037037037
1,unseen_both,text_only,XGB,0.648582995951417,0.5304347826086957,0.46153846153846156,0.6851851851851852
1,unseen_both,majority,majority,0.5,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,random,random,0.5311740890688259,0.5230978260869565,0.23076923076923078,0.7592592592592593
1,unseen_both,early,LR,0.5182186234817814,0.4910714285714286,0.38461538461538464,0.6481481481481481
1,unseen_both,early,RF,0.6421052631578946,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,early,XGB,0.6331983805668016,0.5171385991058122,0.23076923076923078,0.75
1,unseen_both,early_bc,LR,0.5384615384615384,0.10743801652892562,1.0,0.12037037037037036
1,unseen_both,early_bc,RF,0.4125506072874494,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,early_bc,XGB,0.5145748987854251,0.46534653465346537,0.0,0.8703703703703703
1,unseen_both,late,LR,0.5595141700404859,0.4455357142857143,0.38461538461538464,0.5740740740740741
1,unseen_both,late,RF,0.5979757085020243,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,late,XGB,0.5376518218623482,0.5486322188449848,0.23076923076923078,0.7962962962962963
1,unseen_both,late_bc,LR,0.4882591093117409,0.4915431560592851,0.15384615384615385,0.75
1,unseen_both,late_bc,RF,0.334412955465587,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,late_bc,XGB,0.4311740890688259,0.3441091282817902,0.46153846153846156,0.39814814814814814
1,unseen_both,combined,LR,0.5441295546558704,0.4999435347261434,0.5384615384615384,0.6203703703703703
1,unseen_both,combined,RF,0.5125506072874494,0.5417256011315417,0.07692307692307693,0.8888888888888888
1,unseen_both,combined,XGB,0.5838056680161944,0.5896656534954408,0.3076923076923077,0.8148148148148148
1,unseen_both,combined_bc,LR,0.5311740890688259,0.10743801652892562,1.0,0.12037037037037036
1,unseen_both,combined_bc,RF,0.43157894736842106,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,combined_bc,XGB,0.4842105263157894,0.4020398251578436,0.5384615384615384,0.4722222222222222
1,unseen_both,combined_ling,LR,0.631578947368421,0.5055421686746988,0.46153846153846156,0.6481481481481481
1,unseen_both,combined_ling,RF,0.5955465587044535,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,combined_ling,XGB,0.7004048582995951,0.5978835978835979,0.3076923076923077,0.8240740740740741
1,unseen_both,combined_ling_bc,LR,0.6267206477732794,0.10743801652892562,1.0,0.12037037037037036
1,unseen_both,combined_ling_bc,RF,0.3627530364372469,0.46798029556650245,0.0,0.8796296296296297
1,unseen_both,combined_ling_bc,XGB,0.605668016194332,0.5333797909407665,0.38461538461538464,0.7129629629629629
2,unseen_reader,text_only,LR,0.6246213905902941,0.5315270294735047,0.5903614457831325,0.5975056689342404
2,unseen_reader,text_only,RF,0.6405019519418456,0.5512644901729037,0.5542168674698795,0.6315192743764172
2,unseen_reader,text_only,XGB,0.6475987749882212,0.5437034221564608,0.6024096385542169,0.6111111111111112
2,unseen_reader,majority,majority,0.5,0.44806007509386736,0.0,0.8117913832199547
2,unseen_reader,random,random,0.5217994884566198,0.521208083499889,0.23493975903614459,0.7006802721088435
2,unseen_reader,early,LR,0.48142289829709894,0.4619539411206078,0.29518072289156627,0.5804988662131519
2,unseen_reader,early,RF,0.5089898700949048,0.45204056052288344,0.006024096385542169,0.8061224489795918
2,unseen_reader,early,XGB,0.501001211550111,0.49259646405017404,0.24096385542168675,0.6530612244897959
